code,name
11.01.16.2008,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.16.2009,Seuneubok Punto
11.01.16.2010,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.01.16.2011,Alur Bujok
11.01.16.2012,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Surat Pemkab Aceh Selatan
No.140/819/2016 tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.01.17,Pemekaran Kec Perda No. 3/2010
11.01.17.2001,"Semula wil Kec. Bakongan Perda No. 3/2010, Perbaikan nama sesuai
Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan
Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.01.17.2002,Semula wil Kec. Bakongan Perda No. 3/2010
11.01.17.2003,"Semula wil Kec.Bakongan Perda No.3/2010, Perbaikan nama Surat
Pem Aceh No.146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai
Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan
Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.01.17.2004,Semula wil Kec. Bakongan Perda No. 3/2010
11.01.17.2005,Semula wil Kec. Bakongan Perda No. 3/2010
11.01.17.2006,"Semula wil Kec.Bakongan Perda No.3/2010, Perbaikan nama Surat
Pem Aceh No.146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai
Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan
Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
